date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-04-01 00:00:00,12,8.8,16.3,0,,66,18.7,,1011.9,
2025-04-02 00:00:00,12.5,10,16.4,3.4,,25,13.3,,1012.1,
2025-04-03 00:00:00,11.8,8.3,15.7,3.6,,92,6.8,,1016.2,
2025-04-04 00:00:00,11.2,7.7,14.9,2.1,,329,7.5,,1017.5,
2025-04-05 00:00:00,13.2,8.8,18.8,0.5,,263,14.1,,1007.1,
2025-04-06 00:00:00,5.7,2,11.5,8.3,,119,14.4,,1005.6,
2025-04-07 00:00:00,2.9,0.3,6.6,3,,63,10,,1017.1,
2025-04-08 00:00:00,3.5,-2.8,9.1,0,,264,7.2,,1022.1,
2025-04-09 00:00:00,5.3,-1.2,10.7,0,,264,8.7,,1019.3,
2025-04-10 00:00:00,5.6,0.2,13.4,3.5,,279,14.6,,1012.8,
2025-04-11 00:00:00,5.2,-0.7,10.7,0,,286,15.9,,1013,
2025-04-12 00:00:00,7.5,3.6,12,0,,72,8.7,,1014.8,
2025-04-13 00:00:00,10.3,3.7,16.9,0,,181,6,,1020,
2025-04-14 00:00:00,10.5,5.9,15.1,0,,97,11.9,,1022.3,
2025-04-15 00:00:00,12.1,6.8,17.5,0,,101,12,,1022.5,
2025-04-16 00:00:00,13.7,7.8,20.2,0,,91,11.8,,1023.9,
2025-04-17 00:00:00,,,,,,,,,,
2025-04-18 00:00:00,,,,,,,,,,
2025-04-19 00:00:00,,,,,,,,,,
2025-04-20 00:00:00,,,,,,,,,,
2025-04-21 00:00:00,,,,,,,,,,
2025-04-22 00:00:00,,,,,,,,,,
2025-04-23 00:00:00,17.8,11.6,23.6,0,,95,7.2,,1013.8,
2025-04-24 00:00:00,17.4,10.8,22.9,0,,88,7.4,,1010.2,
2025-04-25 00:00:00,18.9,11.8,26.3,0.2,,347,6.9,,1008.9,
2025-04-26 00:00:00,17.9,13.7,22.3,11,,40,12.5,,1011.2,
2025-04-27 00:00:00,13.5,11.5,16.4,0,,52,15.8,,1023.4,
2025-04-28 00:00:00,12.1,6.1,16.9,0,,92,7.8,,1029.7,
2025-04-29 00:00:00,12.2,5.7,18.2,0,,123,6,,1026.5,
2025-04-30 00:00:00,15.5,7.5,22.7,0,,165,5.6,,1021,
2025-05-01 00:00:00,18.7,12,25.5,2.8,,337,8.6,,1017,
2025-05-02 00:00:00,18.5,14.9,22.7,0,,69,11.9,,1019.7,
2025-05-03 00:00:00,19.3,10.8,26.5,0,,218,9.4,,1016.3,
2025-05-04 00:00:00,22,13.5,29.1,0,,207,9.1,,1009.5,
2025-05-05 00:00:00,22.4,15.6,29.4,0.3,,228,8.3,,1006.9,
2025-05-06 00:00:00,19.6,14.5,25.8,5.1,,90,11.3,,1010,
2025-05-07 00:00:00,18.2,14.7,23.2,10.8,,280,11.1,,1010,
2025-05-08 00:00:00,15.9,12.7,20,3.6,,92,12.1,,1011.3,
2025-05-09 00:00:00,15.3,12.4,20.4,0.1,,290,14.7,,1012.4,
2025-05-10 00:00:00,11,8.9,14.5,1.4,,96,11.6,,1019.3,
2025-05-11 00:00:00,13.4,7.8,18.8,0.5,,248,9.9,,1015.3,
2025-05-12 00:00:00,11.1,6.3,15.6,0,,63,13,,1013.8,
2025-05-13 00:00:00,12.4,8.5,16.4,1.3,,59,9.7,,1015.8,
2025-05-14 00:00:00,13.6,7.6,17.8,0.2,,280,6.8,,1015.9,
2025-05-15 00:00:00,,,,,,,,,,
2025-05-16 00:00:00,,,,,,,,,,
2025-05-17 00:00:00,,,,,,,,,,
2025-05-18 00:00:00,,,,,,,,,,
2025-05-19 00:00:00,,,,,,,,,,
2025-05-20 00:00:00,,,,,,,,,,
